image_id,label,scene_type,variant,current_filename,current_format,resolution_type,score,final_label,source_difficulty,source_difficulty_source,source_difficulty_reason,variant_difficulty,variant_difficulty_source,variant_difficulty_reason,review_reason,stability_issue_type,needs_manual_review,source_path
ai_001,ai,food_retail,native,ai_001_food_retail_native.png,png,native,0.173999,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_001_food_retail_native.png
ai_002,ai,food_retail,native,ai_002_food_retail_native.png,png,native,0.154717,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_002_food_retail_native.png
ai_003,ai,food_retail,native,ai_003_food_retail_native.png,png,native,0.120662,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_003_food_retail_native.png
ai_004,ai,food_retail,native,ai_004_food_retail_native.png,png,native,0.151531,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_004_food_retail_native.png
ai_005,ai,food_retail,native,ai_005_food_retail_native.png,png,native,0.125919,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_005_food_retail_native.png
ai_006,ai,food_retail,native,ai_006_food_retail_native.png,png,native,0.148031,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_006_food_retail_native.png
ai_007,ai,food_retail,native,ai_007_food_retail_native.png,png,native,0.166198,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_007_food_retail_native.png
ai_008,ai,food_retail,native,ai_008_food_retail_native.png,png,native,0.155961,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_008_food_retail_native.png
ai_009,ai,food_retail,native,ai_009_food_retail_native.png,png,native,0.157663,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_009_food_retail_native.png
ai_010,ai,food_retail,native,ai_010_food_retail_native.png,png,native,0.130857,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_010_food_retail_native.png
ai_011,ai,food_retail,native,ai_011_food_retail_native.png,png,native,0.135379,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_011_food_retail_native.png
ai_012,ai,food_retail,native,ai_012_food_retail_native.png,png,native,0.187956,ai,hard,baseline_score,AI native score near decision boundary.,hard,baseline_score,AI variant score near decision boundary.,AI variant score near decision boundary.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_012_food_retail_native.png
ai_013,ai,food_retail,native,ai_013_food_retail_native.png,png,native,0.149349,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_013_food_retail_native.png
ai_014,ai,food_retail,native,ai_014_food_retail_native.png,png,native,0.144058,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_014_food_retail_native.png
ai_015,ai,food_retail,native,ai_015_food_retail_native.png,png,native,0.156034,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\food_retail\ai_015_food_retail_native.png
ai_016,ai,indoor_home,native,ai_016_indoor_home_native.png,png,native,0.170478,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_016_indoor_home_native.png
ai_017,ai,indoor_home,native,ai_017_indoor_home_native.png,png,native,0.138900,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_017_indoor_home_native.png
ai_018,ai,indoor_home,native,ai_018_indoor_home_native.png,png,native,0.154507,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_018_indoor_home_native.png
ai_019,ai,indoor_home,native,ai_019_indoor_home_native.png,png,native,0.179842,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,format_and_resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_019_indoor_home_native.png
ai_020,ai,indoor_home,native,ai_020_indoor_home_native.png,png,native,0.162374,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_020_indoor_home_native.png
ai_021,ai,indoor_home,native,ai_021_indoor_home_native.png,png,native,0.167078,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_021_indoor_home_native.png
ai_022,ai,indoor_home,native,ai_022_indoor_home_native.png,png,native,0.132865,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_022_indoor_home_native.png
ai_023,ai,indoor_home,native,ai_023_indoor_home_native.png,png,native,0.157968,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_023_indoor_home_native.png
ai_024,ai,indoor_home,native,ai_024_indoor_home_native.png,png,native,0.121859,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_024_indoor_home_native.png
ai_025,ai,indoor_home,native,ai_025_indoor_home_native.png,png,native,0.167106,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_025_indoor_home_native.png
ai_026,ai,indoor_home,native,ai_026_indoor_home_native.png,png,native,0.147618,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_026_indoor_home_native.png
ai_027,ai,indoor_home,native,ai_027_indoor_home_native.png,png,native,0.142878,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_027_indoor_home_native.png
ai_028,ai,indoor_home,native,ai_028_indoor_home_native.png,png,native,0.116275,real,hard,baseline_error,AI native image predicted as real.,hard,baseline_error,AI variant predicted as real.,AI variant predicted as real.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_028_indoor_home_native.png
ai_029,ai,indoor_home,native,ai_029_indoor_home_native.png,png,native,0.150586,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_029_indoor_home_native.png
ai_030,ai,indoor_home,native,ai_030_indoor_home_native.png,png,native,0.150396,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\indoor_home\ai_030_indoor_home_native.png
ai_031,ai,lowlight_weather,native,ai_031_lowlight_weather_native.png,png,native,0.197099,ai,hard,baseline_score,AI native score near decision boundary.,hard,baseline_score,AI variant score near decision boundary.,AI variant score near decision boundary.,none,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_031_lowlight_weather_native.png
ai_032,ai,lowlight_weather,native,ai_032_lowlight_weather_native.png,png,native,0.169755,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_032_lowlight_weather_native.png
ai_033,ai,lowlight_weather,native,ai_033_lowlight_weather_native.png,png,native,0.135753,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,none,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_033_lowlight_weather_native.png
ai_034,ai,lowlight_weather,native,ai_034_lowlight_weather_native.png,png,native,0.189248,ai,hard,baseline_score,AI native score near decision boundary.,hard,baseline_score,AI variant score near decision boundary.,AI variant score near decision boundary.,none,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_034_lowlight_weather_native.png
ai_035,ai,lowlight_weather,native,ai_035_lowlight_weather_native.png,png,native,0.194663,ai,hard,baseline_score,AI native score near decision boundary.,hard,baseline_score,AI variant score near decision boundary.,AI variant score near decision boundary.,none,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_035_lowlight_weather_native.png
ai_036,ai,lowlight_weather,native,ai_036_lowlight_weather_native.png,png,native,0.176653,uncertain,hard,baseline_uncertain,AI native image entered uncertain zone.,hard,baseline_uncertain,AI variant entered uncertain zone.,AI variant entered uncertain zone.,resolution_flip,true,data\test_images\day14_expansion\raw\ai\lowlight_weather\ai_036_lowlight_weather_native.png
