profile_name,threshold,accuracy,precision,recall,specificity,f1,fp,fn,tp,tn,notes
baseline,0.15,0.5500,0.5385,0.7000,0.4000,0.6087,18,9,21,12,Day8-compatible baseline. Runtime fusion weights preserve the current V0.1 score behavior. low_confidence_cases=30
baseline,0.18,0.4833,0.4800,0.4000,0.5667,0.4364,13,18,12,17,Day8-compatible baseline. Runtime fusion weights preserve the current V0.1 score behavior. low_confidence_cases=31
balanced_v2_candidate,0.15,0.5667,0.5526,0.7000,0.4333,0.6176,17,9,21,13,"Day9.1 candidate: lightly reduces frequency/forensic/compression influence, keeps missing EXIF weak, and avoids treating file format alone as strong AI evidence. low_confidence_cases=43"
balanced_v2_candidate,0.18,0.4333,0.4091,0.3000,0.5667,0.3462,13,21,9,17,"Day9.1 candidate: lightly reduces frequency/forensic/compression influence, keeps missing EXIF weak, and avoids treating file format alone as strong AI evidence. low_confidence_cases=41"
review_safe_candidate,0.15,0.5500,0.5385,0.7000,0.4000,0.6087,18,9,21,12,Day9.1 candidate: preserves baseline score behavior but expands the low-confidence margin so more near-threshold samples become uncertain instead of forced binary calls. low_confidence_cases=45
review_safe_candidate,0.18,0.4833,0.4800,0.4000,0.5667,0.4364,13,18,12,17,Day9.1 candidate: preserves baseline score behavior but expands the low-confidence margin so more near-threshold samples become uncertain instead of forced binary calls. low_confidence_cases=53
reduce_false_positive,0.15,0.3000,0.0000,0.0000,0.6000,0.0000,12,30,0,18,"Lower direct AI-score impact from missing metadata, compression/context artifacts, and blur-like weak signals to reduce real-image false positives. low_confidence_cases=49"
reduce_false_positive,0.18,0.4000,0.0000,0.0000,0.8000,0.0000,6,30,0,24,"Lower direct AI-score impact from missing metadata, compression/context artifacts, and blur-like weak signals to reduce real-image false positives. low_confidence_cases=25"
improve_ai_recall,0.15,0.5000,0.5000,0.9667,0.0333,0.6591,29,1,29,1,"Increase smooth-texture, local-consistency, frequency, and edge-anomaly signals to surface AI samples that the baseline misses. low_confidence_cases=11"
improve_ai_recall,0.18,0.5000,0.5000,0.8667,0.1333,0.6342,26,4,26,4,"Increase smooth-texture, local-consistency, frequency, and edge-anomaly signals to surface AI samples that the baseline misses. low_confidence_cases=29"
