image_path,true_label,category,format,mean_score,min_score,max_score,score_std,score_range,raw_label_votes,resolution_flip_count,consistency_status,final_label,is_correct_when_definite,decision_reason,raw_label_at_0_15,raw_score_at_0_15,has_exif,status,warning_count
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.185934,0.175444,0.192589,0.007018,0.017145,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.175444,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.16237,0.156741,0.169095,0.005213,0.012354,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.156741,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.159284,0.122375,0.182806,0.023292,0.060431,"{""ai"": 3, ""real"": 1}",1,score_unstable,uncertain,,resolution_flip,real,0.122375,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.169771,0.153307,0.177777,0.009737,0.02447,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.153307,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.139067,0.124542,0.146453,0.008798,0.021911,"{""ai"": 0, ""real"": 4}",0,stable,uncertain,,near_threshold_band,real,0.124542,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.153872,0.147751,0.157683,0.00401,0.009932,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.147751,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_007_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.189999,0.168416,0.200874,0.012707,0.032458,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.168416,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_008_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.175921,0.158356,0.183716,0.010375,0.02536,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.158356,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_009_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.178262,0.160059,0.186115,0.010713,0.026056,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.160059,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_010_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.147753,0.131111,0.159898,0.010715,0.028787,"{""ai"": 2, ""real"": 2}",1,label_flip,uncertain,,weak_vote_majority,real,0.131111,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_011_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.142046,0.135595,0.145146,0.003808,0.009551,"{""ai"": 0, ""real"": 4}",0,stable,uncertain,,near_threshold_band,real,0.135595,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_012_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.204805,0.189874,0.212181,0.008785,0.022307,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.189874,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_013_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.163209,0.15081,0.170696,0.007481,0.019886,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.15081,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_014_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.166654,0.14523,0.179556,0.013132,0.034326,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.14523,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_015_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,0.162102,0.158376,0.167258,0.003593,0.008882,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.158376,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_016_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.179754,0.172683,0.183481,0.004172,0.010798,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.172683,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_017_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.16099,0.140484,0.173509,0.012753,0.033025,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.140484,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_018_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.16433,0.155609,0.168925,0.0052,0.013316,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.155609,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_019_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.17949,0.16571,0.18899,0.008521,0.02328,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.182392,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_020_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.170615,0.163685,0.178318,0.006741,0.014633,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.163685,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_021_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.177193,0.168238,0.182936,0.006162,0.014698,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.168238,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_022_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.153955,0.132116,0.165327,0.013186,0.033211,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.132116,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_023_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.16696,0.15823,0.172174,0.005559,0.013944,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.15823,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_024_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.155363,0.122925,0.179468,0.021201,0.056543,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.122925,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_025_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.176481,0.168455,0.183707,0.006549,0.015252,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.168455,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_026_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.180389,0.148956,0.199564,0.019496,0.050608,"{""ai"": 3, ""real"": 1}",1,label_flip,ai,true,stable_ai_high_confidence,real,0.148956,false,success,0
