original_file,original_path,variant_path,ground_truth,variant_resolution,width,height,score,predicted_label,original_score,original_predicted_label,score_delta_vs_original,label_changed_vs_original,status,error_message,inference_time_ms
ai_001.png,data\test_images\ai\ai_001.png,data\day11_resolution_control\ai\long_edge_512\ai_001__long_edge_512.png,ai,long_edge_512,512,384,0.187603,ai,0.154768,ai,0.032835,false,success,,44.85
ai_001.png,data\test_images\ai\ai_001.png,data\day11_resolution_control\ai\long_edge_768\ai_001__long_edge_768.png,ai,long_edge_768,768,576,0.183615,ai,0.154768,ai,0.028847,false,success,,92.89
ai_001.png,data\test_images\ai\ai_001.png,data\day11_resolution_control\ai\long_edge_1024\ai_001__long_edge_1024.png,ai,long_edge_1024,1024,768,0.175948,ai,0.154768,ai,0.021180,false,success,,162.16
ai_002.png,data\test_images\ai\ai_002.png,data\day11_resolution_control\ai\long_edge_512\ai_002__long_edge_512.png,ai,long_edge_512,512,384,0.215638,ai,0.208551,ai,0.007087,false,success,,43.64
ai_002.png,data\test_images\ai\ai_002.png,data\day11_resolution_control\ai\long_edge_768\ai_002__long_edge_768.png,ai,long_edge_768,768,576,0.227451,ai,0.208551,ai,0.018900,false,success,,91.99
ai_002.png,data\test_images\ai\ai_002.png,data\day11_resolution_control\ai\long_edge_1024\ai_002__long_edge_1024.png,ai,long_edge_1024,1024,768,0.229572,ai,0.208551,ai,0.021021,false,success,,154.86
ai_003.png,data\test_images\ai\ai_003.png,data\day11_resolution_control\ai\long_edge_512\ai_003__long_edge_512.png,ai,long_edge_512,512,384,0.196122,ai,0.175881,ai,0.020241,false,success,,43.56
ai_003.png,data\test_images\ai\ai_003.png,data\day11_resolution_control\ai\long_edge_768\ai_003__long_edge_768.png,ai,long_edge_768,768,576,0.199726,ai,0.175881,ai,0.023845,false,success,,90.04
ai_003.png,data\test_images\ai\ai_003.png,data\day11_resolution_control\ai\long_edge_1024\ai_003__long_edge_1024.png,ai,long_edge_1024,1024,768,0.195755,ai,0.175881,ai,0.019874,false,success,,151.96
ai_004.png,data\test_images\ai\ai_004.png,data\day11_resolution_control\ai\long_edge_512\ai_004__long_edge_512.png,ai,long_edge_512,512,384,0.179020,ai,0.164681,ai,0.014339,false,success,,42.75
ai_004.png,data\test_images\ai\ai_004.png,data\day11_resolution_control\ai\long_edge_768\ai_004__long_edge_768.png,ai,long_edge_768,768,576,0.183031,ai,0.164681,ai,0.018350,false,success,,86.6
ai_004.png,data\test_images\ai\ai_004.png,data\day11_resolution_control\ai\long_edge_1024\ai_004__long_edge_1024.png,ai,long_edge_1024,1024,768,0.181103,ai,0.164681,ai,0.016422,false,success,,151.71
ai_005.png,data\test_images\ai\ai_005.png,data\day11_resolution_control\ai\long_edge_512\ai_005__long_edge_512.png,ai,long_edge_512,410,512,0.159033,ai,0.144311,real,0.014722,true,success,,48.37
ai_005.png,data\test_images\ai\ai_005.png,data\day11_resolution_control\ai\long_edge_768\ai_005__long_edge_768.png,ai,long_edge_768,615,768,0.161261,ai,0.144311,real,0.016950,true,success,,106.47
ai_005.png,data\test_images\ai\ai_005.png,data\day11_resolution_control\ai\long_edge_1024\ai_005__long_edge_1024.png,ai,long_edge_1024,819,1024,0.157437,ai,0.144311,real,0.013126,true,success,,171.81
ai_006.png,data\test_images\ai\ai_006.png,data\day11_resolution_control\ai\long_edge_512\ai_006__long_edge_512.png,ai,long_edge_512,512,384,0.201530,ai,0.178609,ai,0.022921,false,success,,44.65
ai_006.png,data\test_images\ai\ai_006.png,data\day11_resolution_control\ai\long_edge_768\ai_006__long_edge_768.png,ai,long_edge_768,768,576,0.208463,ai,0.178609,ai,0.029854,false,success,,89.31
ai_006.png,data\test_images\ai\ai_006.png,data\day11_resolution_control\ai\long_edge_1024\ai_006__long_edge_1024.png,ai,long_edge_1024,1024,768,0.202642,ai,0.178609,ai,0.024033,false,success,,145.77
ai_007.png,data\test_images\ai\ai_007.png,data\day11_resolution_control\ai\long_edge_512\ai_007__long_edge_512.png,ai,long_edge_512,512,384,0.206100,ai,0.187089,ai,0.019011,false,success,,47.84
ai_007.png,data\test_images\ai\ai_007.png,data\day11_resolution_control\ai\long_edge_768\ai_007__long_edge_768.png,ai,long_edge_768,768,576,0.211479,ai,0.187089,ai,0.024390,false,success,,94.59
ai_007.png,data\test_images\ai\ai_007.png,data\day11_resolution_control\ai\long_edge_1024\ai_007__long_edge_1024.png,ai,long_edge_1024,1024,768,0.209765,ai,0.187089,ai,0.022676,false,success,,164.61
ai_008.png,data\test_images\ai\ai_008.png,data\day11_resolution_control\ai\long_edge_512\ai_008__long_edge_512.png,ai,long_edge_512,512,384,0.203626,ai,0.180457,ai,0.023169,false,success,,41.39
